segment_id,source_audio_segment,start_ms,end_ms,start,end,confidence_avg,quality_flags,text,chapter_local_start_ms,chapter_local_end_ms
T00422,audio_019,2310000,2317000,00:38:30.000,00:38:37.000,0.6758,MEDIUM_CONFIDENCE,"Aquí se puede poner el puesto, ese es algo que le añadero, que no me funciona para mí.",107000,114000
T00423,audio_019,2320000,2326000,00:38:40.000,00:38:46.000,0.703,,Aquí le ponen extras y esto no servía como para la percepción.,117000,123000
T00424,audio_019,2326000,2331000,00:38:46.000,00:38:51.000,0.7895,,Aquí le tenía que poner el IVA.,123000,128000
T00425,audio_019,2331000,2337000,00:38:51.000,00:38:57.000,0.7225,,"En un principio, ni un solo me calculaba el IVA, pero después tenía que ponerla.",128000,134000
T00426,audio_019,2337000,2340000,00:38:57.000,00:39:00.000,0.7473,,Porque hicieron unos cámaras.,134000,137000
T00427,audio_019,2340000,2346000,00:39:00.000,00:39:06.000,0.6644,MEDIUM_CONFIDENCE,"Entonces, acá ya sabes lo que se va a pagar y de suma ya, un solo.",137000,143000
T00428,audio_019,2346000,2348000,00:39:06.000,00:39:08.000,0.4055,LOW_CONFIDENCE,Si yo le doy como dos.,143000,145000
T00429,audio_019,2348000,2349000,00:39:08.000,00:39:09.000,0.4803,LOW_CONFIDENCE,No lo doy.,145000,146000
T00430,audio_019,2349000,2351000,00:39:09.000,00:39:11.000,0.6566,MEDIUM_CONFIDENCE,No hay suma.,146000,148000
T00431,audio_019,2351000,2356000,00:39:11.000,00:39:16.000,0.7543,,"Acá si yo le doy el puesto de IVA, te suma.",148000,153000
T00432,audio_019,2356000,2362000,00:39:16.000,00:39:22.000,0.688,MEDIUM_CONFIDENCE,"Entonces, le doy agua tal y me sale la factura.",153000,159000
T00433,audio_019,2367000,2371000,00:39:27.000,00:39:31.000,0.5151,LOW_CONFIDENCE,"Y aquí hay como esta que está acá, de un mesca.",164000,168000
T00434,audio_019,2371000,2372000,00:39:31.000,00:39:32.000,0.5974,MEDIUM_CONFIDENCE,Ver.,168000,169000
T00435,audio_019,2377000,2380000,00:39:37.000,00:39:40.000,0.6278,MEDIUM_CONFIDENCE,La compra del cielo.,174000,177000
T00436,audio_019,2380000,2382000,00:39:40.000,00:39:42.000,0.3534,LOW_CONFIDENCE,Y la suma.,177000,179000
T00437,audio_019,2389000,2391000,00:39:49.000,00:39:51.000,0.8132,,Eso es de compra.,186000,188000
T00438,audio_019,2391000,2398000,00:39:51.000,00:39:58.000,0.8259,,"Entonces, cuando ya se ingresa la compra, esto hay que la sumar a la parte de inventario.",188000,195000
