"requirement_id","chapter_id","page","tab","control_type","visible_label","event_ids","status"
"CH06-R010","CH06","Nueva cotización","Equipos / Extras","tabs","Equipos / Extras","CH06-E0071","NOT_TESTABLE"
"CH06-R011","CH06","Nueva cotización","","loading_state","Procesando...","CH06-E0001 | CH06-E0021 | CH06-E0036 | CH06-E0064","IMPLEMENTED_EXACT"
"CH06-R012","CH06","Nueva cotización","","table","Tipo / Código / Item / Cantidad / Precio / Subtotal / Descuento / Impuesto / Total","CH06-E0067 | CH06-E0068 | CH06-E0083 | CH06-E0114","IMPLEMENTED_EXACT"
"CH06-R013","CH06","Nueva cotización","Insumos","catalog_option","Código / descripción / fabricante / existencia","CH06-E0010 | CH06-E0013 | CH06-E0029","IMPLEMENTED_PARTIAL"
"CH06-R014","CH06","Nueva cotización","","checkbox","Solo disponibles en inventario","CH06-E0084","NEEDS_CLIENT_CONFIRMATION"
"CH06-R015","CH06","Nueva cotización","","financial_calculation","Descuento por categoría","CH06-E0107 | CH06-E0113 | CH06-E0114","IMPLEMENTED_EXACT"
"CH06-R016","CH06","Nueva cotización","","derived_rule","Grupo aseguradora 15%","CH06-E0107 | CH06-E0108 | CH06-E0114","NEEDS_CLIENT_CONFIRMATION"
"CH06-R017","CH06","Nueva cotización","","searchable_select","Paciente","CH06-E0101 | CH06-E0102 | CH06-E0107 | CH06-E0108","NEEDS_CLIENT_CONFIRMATION"
"CH06-R018","CH06","Nueva cotización","","financial_calculation","Impuesto por línea y resumen","CH06-E0003 | CH06-E0067 | CH06-E0083 | CH06-E0114","NEEDS_CLIENT_CONFIRMATION"
"CH06-R019","CH06","Nueva cotización","","financial_summary","Subtotal / Descuento / Impuesto / Total","CH06-E0004 | CH06-E0067 | CH06-E0084 | CH06-E0114","IMPLEMENTED_PARTIAL"
"CH06-R020","CH06","Nueva cotización","","link","Atrás / Guardar","CH06-E0084 | CH06-E0095 | CH06-E0096 | CH06-E0115","IMPLEMENTED_EXACT"
"CH06-R021","CH06","Nueva cotización","","submit","Guardar","CH06-E0115","NOT_TESTABLE"
"CH06-R022","CH06","Nueva cotización","","textarea","Comentarios *","CH06-E0093 | CH06-E0111 | CH06-E0113","IMPLEMENTED_EXACT"
"CH07-R001","CH07","Nueva cotización / Hospitalización","","navigation","Atrás / Guardar","CH07-E0001 | CH07-E0002","NOT_TESTABLE"
"CH07-R002","CH07","Hospitalización","","tabs","Activos / Cotizaciones / PIC Ejecución","CH07-E0002 | CH07-E0003 | CH07-E0005 | CH07-E0006","IMPLEMENTED_PARTIAL"
"CH07-R003","CH07","Hospitalización","Cotizaciones","filters","Estado / Fecha de creación / Aplicar / Limpiar / Nuevo","CH07-E0006 | CH07-E0007","IMPLEMENTED_EXACT"
"CH07-R004","CH07","Hospitalización","Cotizaciones","pagination","Mostrar registros / Anterior / páginas / Siguiente","CH07-E0006 | CH07-E0007 | CH07-E0008","IMPLEMENTED_EXACT"
"CH07-R005","CH07","Hospitalización","Cotizaciones","table","Paciente / DUI/NIT / Nro. / Estado / Envío preautorización / Respuesta seguro / Envío de reclamo / Creación / Total","CH07-E0006 | CH07-E0007 | CH07-E0012 | CH07-E0013","IMPLEMENTED_PARTIAL"
"CH07-R006","CH07","Hospitalización","Cotizaciones","search","Buscar cotizaciones","CH07-E0008 | CH07-E0012 | CH07-E0013","IMPLEMENTED_EXACT"
"CH07-R007","CH07","Hospitalización","Cotizaciones","menu","Editar / Duplicar / Versiones / Imprimir / Enviar / Envíos al seguro / Historial de envíos / Eliminar","CH07-E0009 | CH07-E0010 | CH07-E0014 | CH07-E0015 | CH07-E0016","IMPLEMENTED_EXACT"
"CH07-R008","CH07","Hospitalización","Cotizaciones","menu_actions","Editar / Duplicar / Versiones / Eliminar","CH07-E0009","IMPLEMENTED_PARTIAL"
"CH07-R009","CH07","Hospitalización","Cotizaciones","print_menu","Excel / Detalle de servicio / Cotización / Factura / Cotización internacional / Factura internacional","CH07-E0010 | CH07-E0015","IMPLEMENTED_PARTIAL"
"CH07-R010","CH07","Hospitalización","Cotizaciones","menu","Enviar / E-mail / Whatsapp","CH07-E0009 | CH07-E0014","IMPLEMENTED_EXACT"
"CH07-R011","CH07","Hospitalización","Cotizaciones","external_delivery","Generar PDF y enviar por WhatsApp","CH07-E0011 | CH07-E0012","NEEDS_CLIENT_CONFIRMATION"
"CH07-R012","CH07","Hospitalización","Cotizaciones","menu_actions","Envíos al seguro / Historial de envíos","CH07-E0009 | CH07-E0014","IMPLEMENTED_EXACT"
"CH07-R013","CH07","Hospitalización","Cotizaciones","status_button","Estado interactivo","CH07-E0017 | CH07-E0018","IMPLEMENTED_PARTIAL"
"CH07-R014","CH07","Hospitalización","Cotizaciones","status_options","Pre aprobación / Poner en ejecución / Rechazar / No aplica","CH07-E0018","NEEDS_CLIENT_CONFIRMATION"
"CH07-R015","CH07","Actualizar seguro","","form","Monto aprobado / Número de reclamo o autorización / Observación","CH07-E0018","IMPLEMENTED_EXACT"
"CH07-R016","CH07","Cotizaciones / Seguro","","error_state","Validaciones y errores","CH07-E0001 | CH07-E0018","NOT_TESTABLE"
"CH07-R017","CH07","Hospitalización","Cotizaciones","external_result","Resultado de impresión y envío","CH07-E0010 | CH07-E0011 | CH07-E0014 | CH07-E0015","NOT_TESTABLE"
"CH07-R018","CH07","Hospitalización","Cotizaciones","authorization","Permisos por acción","CH07-E0009 | CH07-E0014 | CH07-E0018","NEEDS_CLIENT_CONFIRMATION"
"CH08-R001","CH08","Hospitalización / Cotizaciones","","menu_action","Poner en ejecución","CH08-E0001 | CH08-E0002","IMPLEMENTED_EXACT"
"CH08-R002","CH08","Detalles de Hospitalización","","form","Paciente / DUI/NIT / Hospitalización / Estado","CH08-E0002 | CH08-E0003","IMPLEMENTED_EXACT"
"CH08-R003","CH08","Detalles de Hospitalización","","form","Responsable / Referido / Revenue / Tipo / Inicio / Duración / Forma de pago / Solicitud","CH08-E0003 | CH08-E0014","IMPLEMENTED_PARTIAL"
"CH08-R004","CH08","Detalles de Hospitalización","","form","Categoría / Subcategoría / Hospital / Descripción / Tipo paciente / Módulo / Adicionales","CH08-E0006 | CH08-E0020","IMPLEMENTED_PARTIAL"
"CH08-R005","CH08","Detalles de Hospitalización","","select","Aseguradora","CH08-E0008 | CH08-E0012","IMPLEMENTED_EXACT"
"CH08-R006","CH08","Detalles de Hospitalización","","button","Cancelar / Guardar / cerrar","CH08-E0022 | CH08-E0024","IMPLEMENTED_EXACT"
"CH08-R007","CH08","Shell","","navigation","Facturación / Cuentas por cobrar","CH08-E0029 | CH08-E0032","IMPLEMENTED_EXACT"
"CH08-R008","CH08","Cuentas por cobrar","","tabs_actions","Cuentas / Pagos / Excel con filtros / Reporte / Excel","CH08-E0032 | CH08-E0036","IMPLEMENTED_PARTIAL"
"CH08-R009","CH08","Cuentas por cobrar","Cuentas","table","Hospitalización / estado / tipo / gestor / facturas / pagos / pendiente","CH08-E0033 | CH08-E0042","IMPLEMENTED_EXACT"
"CH08-R010","CH08","Cuentas por cobrar","Cuentas","search","Buscar","CH08-E0037 | CH08-E0042","IMPLEMENTED_EXACT"
"CH08-R011","CH08","Cuentas por cobrar","Cuentas","menu","Ver cotizaciones / Estados de cuenta / Ver pagos / Archivar / Registro XPO","CH08-E0043 | CH08-E0045","IMPLEMENTED_PARTIAL"
"CH08-R012","CH08","Históricos de estados de cuenta","","tabs_table","Estados Particulares / Estados Mixtos","CH08-E0046 | CH08-E0048","NEEDS_CLIENT_CONFIRMATION"
"CH08-R013","CH08","Pagos de hospitalización","","modal_table","Añadir pago / Fecha / Tipo / Monto / Pagado por / Estado","CH08-E0052 | CH08-E0059","IMPLEMENTED_EXACT"
"CH08-R014","CH08","Pagos","","menu","Editar pago / Imprimir / Eliminar pagos","CH08-E0060 | CH08-E0061","IMPLEMENTED_EXACT"
"CH08-R015","CH08","Estado de cuenta","","select","Paciente / Aseguradora / Empresa","CH08-E0066 | CH08-E0068","IMPLEMENTED_PARTIAL"
"CH08-R016","CH08","Estado de cuenta","","form","Paciente / Hospitalización / Particular o Mixto / Rango","CH08-E0069 | CH08-E0077","IMPLEMENTED_EXACT"
"CH08-R017","CH08","Estado de cuenta generado","","detail_tabs","Datos del paciente / Cotizaciones / Pagos / Documentos","CH08-E0078 | CH08-E0081","IMPLEMENTED_EXACT"
"CH08-R018","CH08","Estado de cuenta generado","Cotizaciones","selection_table","Selección y deuda acumulada","CH08-E0081 | CH08-E0083","IMPLEMENTED_EXACT"
"CH08-R019","CH08","Estado de cuenta generado","Pagos","selection_table","Selección y pagos acumulados","CH08-E0084 | CH08-E0086","IMPLEMENTED_EXACT"
"CH08-R020","CH08","Resumen del pago","","financial_summary","Saldo anterior / Facturas / Pagos / Pendiente","CH08-E0087 | CH08-E0088","NEEDS_CLIENT_CONFIRMATION"
"CH08-R021","CH08","Resumen del pago","","buttons","Imprimir / Guardar cambios","CH08-E0087","IMPLEMENTED_PARTIAL"
"CH08-R022","CH08","Shell","","navigation_group","Facturación / Clínica","CH08-E0090 | CH08-E0095","IMPLEMENTED_EXACT"
"CH13-R001","CH13","Compras","","data_table","Acciones / Tipo / Número / Proveedor / Total / # Factura / Fecha / Estado / Registro PT","CH13-E0001 | CH13-E0004 | CH13-E0080","IMPLEMENTED_EXACT"
"CH13-R002","CH13","Compras","","search_pagination_export","Excel / Mostrar registros / Buscar / Anterior / páginas / Siguiente","CH13-E0004 | CH13-E0080","IMPLEMENTED_EXACT"
"CH13-R003","CH13","Compras","","modal_choice","¿Qué quieres crear? / Orden de compra / Caja menuda","CH13-E0005 | CH13-E0006 | CH13-E0032 | CH13-E0033","IMPLEMENTED_EXACT"
"CH13-R004","CH13","Nueva compra","","form","Fecha / Número de factura / Observaciones / Ítem / Proveedor / Presentación / Costo / Cantidad","CH13-E0007 | CH13-E0008 | CH13-E0023","IMPLEMENTED_EXACT"
"CH13-R005","CH13","Nueva compra","","catalog_search","Buscar ítem / código / descripción / existencia","CH13-E0009 | CH13-E0015 | CH13-E0044 | CH13-E0048 | CH13-E0049","IMPLEMENTED_EXACT"
"CH13-R006","CH13","Nueva compra","","catalog","Proveedor y precio histórico","CH13-E0019 | CH13-E0020 | CH13-E0021 | CH13-E0022","NEEDS_CLIENT_CONFIRMATION"
